col1,col2
1.0E-17,1.0402033632105152E-4
1.1830696136944261E-17,1.0618441168751001E-4
1.3996537108470784E-17,1.088269067601946E-4
1.6558877749978367E-17,1.1207256017882658E-4
1.9590305102880132E-17,1.1608690392518535E-4
2.317669469022034E-17,1.2109325460370543E-4
2.7419643233872635E-17,1.2739848362724188E-4
3.243934672833668E-17,1.3543300493516037E-4
3.837800540239313E-17,1.458143427140518E-4
4.540385202577184E-17,1.59450761922629E-4
5.371591767636877E-17,1.7771458741893068E-4
6.35496699746232E-17,2.0273939805680633E-4
7.518368350728573E-17,2.3794142351515887E-4
8.894753140308924E-17,2.889517629311572E-4
1.0523112161612562E-16,3.653045144109788E-4
1.244957423990209E-16,4.8350629796130995E-4
1.4728712986661045E-16,6.725775436068219E-4
1.742509278334523E-16,9.838464466570577E-4
2.061509778778177E-16,0.0015076179143068233
2.43890957760639E-16,0.002399984866395514
2.885399811814427E-16,0.003922819398483342
3.413628840717264E-16,0.006498433965511874
4.0385605538835414E-16,0.010779264402012484
4.777898274364548E-16,0.01773872894203169
5.652586265723755E-16,0.028811633132719932
6.687403049764221E-16,0.04614908675022499
7.911663342703483E-16,0.07307035419423491
9.3600484945326E-16,0.11474293170808565
1.1073588956587777E-15,0.17901390501571726
1.3100826609081216E-15,0.277259318382986
1.5499189875483372E-15,0.4251529583932715
1.8336620578564672E-15,0.6430948624120115
2.1693498624343858E-15,0.9552863294549139
2.566491903718305E-15,1.3856008795874675
3.0363385850818997E-15,1.9492443248072264
3.592199916898323E-15,2.642473523711279
4.249822567998049E-15,3.43596055483037
5.0278359437913255E-15,4.277409661483422
5.948279927740154E-15,5.105090287732323
7.037229236257881E-15,5.8675866689702945
8.325532074018733E-15,6.539285340713169
9.849684014609895E-15,7.121594825984469
1.1652861862176739E-14,7.629186926122553
1.3786146781719946E-14,8.072310687069777
1.6309971347384136E-14,8.44876584361506
1.929583150131691E-14,8.749035375318657
2.2828311920175733E-14,8.96723497246009
2.7007482164698275E-14,9.108673005123645
3.195173149144869E-14,9.189687137957021
3.780112263245638E-14,9.231270799838548
4.47213595499958E-14,9.251575110990307
5.290848156670306E-14,9.26207107218452
6.25944168482783E-14,9.26827812037714
7.405355256012049E-14,9.272402708590656
8.761050782000197E-14,9.275336963612155
1.0364932964218224E-13,9.277521207578014
1.2262437237946275E-13,9.279209581267422
1.4507316886049245E-13,9.28055518312355
1.7163165784120974E-13,9.281652912977297
2.0305219913993475E-13,9.282566882851008
2.4022488679628625E-13,9.28334553225963
2.842027640218696E-13,9.284026908324064
3.3623165424224143E-13,9.284639139021975
3.97785453296208E-13,9.285200860877822
4.706078825644089E-13,9.285723212254057
5.56761885827027E-13,9.286212391629217
6.58688069185161E-13,9.28667163532321
7.792738395560158E-13,9.287102437452411
9.219352003257115E-13,9.287505338628876
1.0907135213006374E-12,9.287880551474922
1.2903900242964321E-12,9.288228486042907
1.5266212275595209E-12,9.288550102941636
1.8060991859465529E-12,9.28884701220978
2.1367410662116146E-12,9.289121326162963
2.527913427768001E-12,9.289375378584568
2.9906975624424415E-12,9.28961145309546
3.5382034098756406E-12,9.289831602643961
4.1859409412938756E-12,9.290037553559214
4.952259532364247E-12,9.290230651761869
5.858867771868733E-12,9.290411837879748
6.931448431551465E-12,9.290581671595554
8.200386018258427E-12,9.290740416935803
9.70162751876617E-12,9.290888167872017
1.1477700720833952E-11,9.29102497686907
1.3578918957897314E-11,9.291150957696876
1.6064806405907494E-11,9.29126635107267
1.900578430871272E-11,9.291371551882147
2.2485165900068342E-11,9.291467100454085
2.6601516535249042E-11,9.291553645463377
3.14714458910431E-11,9.291631892514546
3.723291133272139E-11,9.291702553507195
4.404912602712151E-11,9.291766305803334
5.211318251248374E-11,9.291823763536796
6.16535227034315E-11,9.291875461202249
7.294040928764954E-11,9.291921849433669
8.629358183865287E-11,9.291963301185493
1.0209131453016339E-10,9.292000125436598
1.2078113204275653E-10,9.292032587308256
1.4289248722740002E-10,9.292060934318304
1.6905175966395654E-10,9.292085424722682
2.0000000000000003E-10,9.292106349650394
