,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,6.116664124343467e-05,,,,,,,,
21.45,0.0005120263535069779,0.00023224919301897365,0.00010290396995000057,2.1334345990557852e-05,,,,,,
22.18,,0.0001809323668849475,0.00010182340141434976,4.16958834291279e-05,3.1322289184166694e-05,3.678204510462853e-06,,,,
22.91,,3.0155394480824584e-05,3.8789867205466573e-05,1.2508765028738368e-05,3.6849751981372586e-06,1.8391022552314265e-06,,,,
23.64,,,1.4546200202049965e-05,,,,1.838412501977947e-06,,,
24.36,,,,4.16958834291279e-06,,,,,,
25.09,,,,2.084794171456395e-06,,,,,,
25.82,,,,,,,,,,
26.55,,,,,,,,,,
27.27,,,,,,,,,,
28.0,,,,,,,,,,
