,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,,,,,,,,
22.91,,,,,,2.894457064091288e-06,,,,
23.64,,,,,,2.5152335589197828e-05,1.4557948368858737e-05,4.532115960242148e-06,,
24.36,,,,,,7.758475862326658e-06,3.948043116676709e-06,9.883729339117826e-07,3.385242225129655e-08,
25.09,,,,,,1.7241057471837017e-06,3.2900359305639244e-07,3.0673642776572563e-07,,
25.82,,,,,,5.747019157279006e-07,1.880020531750814e-07,1.363273012292114e-07,,
26.55,,,,,,,2.3500256646885173e-07,,,
27.27,,,,,,2.873509578639503e-07,4.700051329377035e-08,,,
28.0,,,,,,,,,,
