,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,,3.1335323303449636e-05,3.092215232692808e-06,2.89808973358982e-06,,,,
22.91,,,0.0025469562197838074,3.454883111433452e-05,4.2899479729098025e-06,2.8046125070182218e-06,1.8724772800494295e-06,7.582455666049874e-07,,
23.64,,,,1.6773501834697004e-05,2.0739001188476584e-06,8.001196496888662e-07,4.582371332418487e-07,1.9350379543198107e-07,,
24.36,,,,1.2513586209985026e-05,9.797847338772304e-07,3.3271094984642734e-07,2.35871049205515e-07,1.9350379543198107e-07,,
25.09,,,,1.4161031088304749e-05,6.431146338576215e-07,3.440779684863848e-07,1.767568974077587e-07,,,
25.82,,,,,5.68296924390391e-07,2.1057730596503865e-07,,,,
26.55,,,,,,,1.5619361755008015e-07,1.5571982910085254e-07,,
27.27,,,,,,,,,,
28.0,,,,,,,,,,
