,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,,,,,,,,
22.91,,,,,,,,,,
23.64,,,,,,6.488521061681561e-06,6.629109650925006e-07,3.263536616970682e-07,,
24.36,,,,,,3.889918148830283e-06,4.473441375662096e-07,2.3247348130252474e-07,4.3676603006975386e-08,
25.09,,,,,,1.4521687420876336e-06,1.3073829622760313e-07,6.522107182700678e-08,4.725783432146439e-08,
25.82,,,,,,9.341547806240264e-07,8.49288023000717e-08,2.8750319648929105e-08,2.071187659192721e-08,
26.55,,,,,,,3.6859565519732916e-08,2.8750319648929105e-08,2.071187659192721e-08,
27.27,,,,,,,5.729918639278498e-08,1.4634832215165344e-08,,
28.0,,,,,,,,,,
