,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,,,,,,,,
22.91,,,,,1.4047011571689783e-05,1.452893708948741e-06,9.314770886497507e-07,4.079219586966165e-07,,
23.64,,,,,1.0660154918747497e-05,1.6385689276628148e-06,9.546395291737562e-07,3.867786306479127e-07,,
24.36,,,,,3.887635380796342e-06,4.944383664834304e-07,2.3620625319995534e-07,1.3125668952539832e-07,3.3309949006344884e-08,
25.09,,,,,,1.621536146719983e-07,9.348503412514106e-08,,,
25.82,,,,,1.6872550554639534e-06,1.2831278993513363e-07,7.062819803562421e-08,8.671224481872805e-08,,
26.55,,,,,,2.3658280498218846e-07,,5.183937757410023e-08,,
27.27,,,,,,,7.062819803562421e-08,,,
28.0,,,,,,,,,,
