,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,5.067853403434093e-05,,,,,,,,
21.45,0.00032973873885269896,8.548271591353592e-05,2.9250022751539564e-05,1.157503784004986e-05,,,,,,
22.18,,7.161201543624665e-05,2.202438413990438e-05,9.23744933821798e-06,7.514350757190006e-06,2.3687189306083278e-06,,,,
22.91,,2.4984716414839572e-05,1.3399578104467293e-05,4.950899000265705e-06,2.373079171052267e-06,1.5237555036485343e-06,,,,
23.64,,,7.89210120817332e-06,,,,1.5231840208431823e-06,,,
24.36,,,,2.685164137178032e-06,,,,,,
25.09,,,,1.727319176350703e-06,,,,,,
25.82,,,,,,,,,,
26.55,,,,,,,,,,
27.27,,,,,,,,,,
28.0,,,,,,,,,,
