,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,,,,,,,,
22.91,,,,,,6.987837499835797e-06,,,,
23.64,,,,,,4.406348456822694e-06,2.268936722911216e-06,1.3976620901122453e-06,,
24.36,,,,,,1.807869304872375e-06,4.803238351212714e-07,2.2075567052490493e-07,8.172697691826087e-08,
25.09,,,,,,1.0476101313681626e-06,1.7993803997086434e-07,1.4185802009434797e-07,,
25.82,,,,,,7.850574164878958e-07,1.520968559960234e-07,1.102911034917047e-07,,
26.55,,,,,,,1.621277885124052e-07,,,
27.27,,,,,,6.937265796360485e-07,1.1346927663231731e-07,,,
28.0,,,,,,,,,,
