,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,0.0001712215545279512,6.979033956118603e-05,2.974045360213921e-05,1.0437520624987915e-05,1.739211890475329e-06,,,
22.91,,,4.6078272326372744e-05,3.557549997260534e-05,1.4280094490136856e-05,1.0616590854912936e-05,3.3100923772783157e-07,,,
23.64,,,4.6078272326372744e-05,6.670406244863502e-06,1.5437939989337143e-06,6.635369284320585e-07,,,,
24.36,,,,3.335203122431751e-06,1.1578454992002857e-06,6.635369284320585e-07,3.3100923772783157e-07,,,
25.09,,,,3.335203122431751e-06,,6.635369284320585e-07,,,,
25.82,,,,1.1117343741439169e-06,,,,,,
26.55,,,,,,,,,,
27.27,,,,,,,,,,
28.0,,,,,,,,,,
