,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,,,,,,,,
22.91,,,,,4.738133610680348e-05,6.227935853922236e-06,2.852677436000183e-06,6.334311635738913e-07,,
23.64,,,,,4.8117674106160425e-05,1.8754278581752238e-05,1.0457552088291548e-05,1.788159683230349e-06,,
24.36,,,,,8.145754539292862e-06,2.4905903597871865e-06,1.3017723435581914e-06,4.4273597205566484e-07,4.020356428083679e-08,
25.09,,,,,,2.988708431744624e-07,2.1696205725969858e-07,,,
25.82,,,,,2.0364386348232155e-06,1.992472287829749e-07,1.3017723435581916e-07,2.0124362366166583e-07,,
26.55,,,,,,5.977416863489248e-07,,8.049744946466634e-08,,
27.27,,,,,,,1.3017723435581916e-07,,,
28.0,,,,,,,,,,
