,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,0.00011812539921751164,1.5587854217146685e-05,9.171677182821078e-06,6.342100750468899e-06,4.198828933826089e-06,,,
22.91,,,6.294409056032265e-05,7.498162132723395e-06,2.7650948359150438e-06,2.2376331910507193e-06,7.99126990993311e-07,,,
23.64,,,6.294409056032265e-05,4.053107052090758e-06,1.2489555809514342e-06,9.064083005872889e-07,,,,
24.36,,,,3.335203122431751e-06,1.1578454992002857e-06,9.064083005872889e-07,7.99126990993311e-07,,,
25.09,,,,3.335203122431751e-06,,9.064083005872889e-07,,,,
25.82,,,,2.683964203814609e-06,,,,,,
26.55,,,,,,,,,,
27.27,,,,,,,,,,
28.0,,,,,,,,,,
