,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,0.00014766933485470948,,,,,,,,
21.45,0.0006994410062976432,0.0001270213014648932,3.9494125837794434e-05,2.1334345990557852e-05,,,,,,
22.18,,0.00010993906896413614,2.7591308958430627e-05,1.163852127055807e-05,9.659500452389919e-06,5.024520801606762e-06,,,,
22.91,,7.280156233431748e-05,1.9394933602733287e-05,7.600641083886968e-06,5.03376973297109e-06,4.439985607170655e-06,,,,
23.64,,,1.4546200202049965e-05,,,,4.438320395511414e-06,,,
24.36,,,,5.695763599742332e-06,,,,,,
25.09,,,,5.033138363486408e-06,,,,,,
25.82,,,,,,,,,,
26.55,,,,,,,,,,
27.27,,,,,,,,,,
28.0,,,,,,,,,,
