,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,7.37762771526711e-05,1.2877177912591606e-05,7.134861654919446e-06,4.131112088905973e-06,1.4409931163883384e-06,,,
22.91,,,2.967384647556487e-05,6.25260242020177e-06,2.3359047152640958e-06,1.8659280045210063e-06,2.7425182385131725e-07,,,
23.64,,,2.967384647556487e-05,2.6401093579732606e-06,7.36789715669089e-07,4.2730970479315145e-07,,,,
24.36,,,,1.8095282772429864e-06,6.281938744270026e-07,4.2730970479315145e-07,2.7425182385131725e-07,,,
25.09,,,,1.8095282772429864e-06,,4.2730970479315145e-07,,,,
25.82,,,,9.211077667804195e-07,,,,,,
26.55,,,,,,,,,,
27.27,,,,,,,,,,
28.0,,,,,,,,,,
