,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,,1.4772468148978025e-05,1.0612151471103626e-06,9.945933550984753e-07,,,,
22.91,,,0.0008740880941550033,2.6432532252049977e-05,4.2899479729098025e-06,2.502719822414237e-06,1.5614300899035777e-06,3.57461079092899e-07,,
23.64,,,,9.895102624984316e-06,1.8177505010511283e-06,7.173939813991856e-07,3.8619201792199574e-07,1.0498628621237062e-07,,
24.36,,,,4.29452875411364e-06,6.917698660019315e-07,2.392552340613652e-07,1.536414795560913e-07,1.0498628621237062e-07,,
25.09,,,,6.6759605025565474e-06,3.031846952017087e-07,2.513576548183498e-07,8.33288238893274e-08,,,
25.82,,,,,1.9503341741646098e-07,9.927284027491362e-08,,,,
26.55,,,,,,,5.360397655171073e-08,5.344137743068887e-08,,
27.27,,,,,,,,,,
28.0,,,,,,,,,,
