,40.0,40.67,41.33,42.0,42.67,43.33,44.0,44.67,45.33,46.0
20.0,,,,,,,,,,
20.73,,,,,,,,,,
21.45,,,,,,,,,,
22.18,,,,,,,,,,
22.91,,,,,,,,,,
23.64,,,,,,9.641485779076142e-06,8.260747141174454e-07,4.849385797302561e-07,,
24.36,,,,,,5.4093627970129705e-06,5.067210901010341e-07,2.628432698040344e-07,8.05018327472732e-08,
25.09,,,,,,3.0803367836421968e-06,1.85170521400779e-07,8.607425343947109e-08,6.693339345912033e-08,
25.82,,,,,,2.721981164897581e-06,1.439655024498677e-07,5.29906921433222e-08,4.393398196455676e-08,
26.55,,,,,,,1.0740301839915543e-07,5.29906921433222e-08,4.393398196455676e-08,
27.27,,,,,,,1.2154289401982928e-07,4.2643615883981955e-08,,
28.0,,,,,,,,,,
